%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1597380901015574897,19,1596774720400803089,base_link,2,0,-6.87082562971,107.572910503,863.631,1.68185165151,2.81427658955e-13,-6.9575750829e-15,2.8145541453e-13,1.68185165151,-1.16697720004e-15,-6.9575750829e-15,-1.16697720004e-15,1.07461312341e-06,3
1597380901216011250,20,1596774720600307941,base_link,2,0,-6.87082575825,107.57290808,863.631,1.60135188788,2.59306465189e-13,-6.61970706546e-15,2.59313404083e-13,1.60135188788,-9.8813252408e-16,-6.61970706549e-15,-9.88132524082e-16,1.07430513464e-06,3
1597380901415905712,21,1596774720760093927,base_link,2,0,-6.87082558068,107.572906702,863.631,1.99411947408,2.2397361743e-13,-8.2090277161e-15,2.2397361743e-13,1.99411947408,-1.44875127134e-15,-8.20902771609e-15,-1.44875127134e-15,1.07383074766e-06,3
1597380901615636321,22,1596774720960055113,base_link,2,0,-6.87082523522,107.572905075,863.631,2.54682649569,-2.76445533132e-14,-1.05568511128e-14,-2.7658431101e-14,2.54682649569,-1.77747587423e-15,-1.05568511128e-14,-1.77747587423e-15,1.07392040551e-06,3
1597380901816018918,23,1596774721199738979,base_link,2,0,-6.87082469955,107.572903187,863.631,3.29333018619,-1.10995934666e-12,-1.36857753622e-14,-1.10995934666e-12,3.29333018619,-2.385279225e-15,-1.36857753622e-14,-2.385279225e-15,1.07408302028e-06,3
1597380902014948838,24,1596774721399553061,base_link,2,0,-6.87082438779,107.572901449,863.631,3.96837382773,-1.49830148288e-12,-1.65493712179e-14,-1.49830148288e-12,3.96837382773,-2.46742233525e-15,-1.65493712179e-14,-2.46742233526e-15,1.07350500087e-06,3
1597380902215347701,25,1596774721599208117,base_link,2,0,-6.87082403786,107.572899693,863.631,4.68082858088,-7.43571870743e-13,-1.92159008449e-14,-7.43571870743e-13,4.68082858089,-2.88647286838e-15,-1.92159008449e-14,-2.88647286838e-15,1.07406026891e-06,3
1597380902415160202,26,1596774721799210072,base_link,2,0,-6.87082438166,107.572896929,863.631,4.80176139467,4.17360590532e-13,-1.95194061345e-14,4.17360590532e-13,4.80176139467,-3.40230434156e-15,-1.95194061345e-14,-3.40230434156e-15,1.07399114443e-06,3
1597380902615679005,27,1596774721998953104,base_link,2,0,-6.87082461054,107.572894212,863.631,4.89556067686,9.41746680638e-13,-1.9874934535e-14,9.41774436214e-13,4.89556067686,-3.49964399488e-15,-1.9874934535e-14,-3.49964399488e-15,1.07408678288e-06,3
1597380902816234459,28,1596774722158663988,base_link,2,0,-6.8708243553,107.572892979,863.631,5.53186727607,3.29625216011e-13,-2.28676920634e-14,3.29625216011e-13,5.53186727607,-3.66746222325e-15,-2.28676920635e-14,-3.66746222325e-15,1.07400497408e-06,3
1597380903016959840,29,1596774722358761072,base_link,2,0,-6.87082426398,107.572890293,863.631,5.37112489813,-3.14526182876e-13,-2.17948760837e-14,-3.14498427301e-13,5.37112489813,-3.55155337817e-15,-2.17948760837e-14,-3.55155337817e-15,1.07403364402e-06,3
1597380903215537970,30,1596774722598404884,base_link,2,0,-6.87082429998,107.572887166,863.631,5.14963555139,3.62904151174e-13,-2.13445037099e-14,3.62904151174e-13,5.14963555138,-3.32764173547e-15,-2.13445037099e-14,-3.32764173546e-15,1.07408970602e-06,3
1597380903415302509,31,1596774722798275948,base_link,2,0,-6.87082395815,107.57288554,863.631,5.99513821044,5.58414425811e-13,-2.48267014512e-14,5.58414425811e-13,5.99513821044,-4.19371566053e-15,-2.48267014512e-14,-4.19371566053e-15,1.07426197723e-06,3
1597380903615832133,32,1596774722998168945,base_link,2,0,-6.87082462837,107.572882228,863.631,2.82888854846,4.61020110976e-14,-1.17034360002e-14,4.61020110976e-14,2.82888854846,-1.89330501647e-15,-1.17034360001e-14,-1.89330501647e-15,1.07422486879e-06,3
1597380903814906775,33,1596774723197902918,base_link,2,0,-6.87082446331,107.572879599,863.631,2.00560474029,3.87703757987e-13,-8.22650501354e-15,3.87703757987e-13,2.00560474029,-1.34698658756e-15,-8.22650501354e-15,-1.34698658756e-15,1.074098439e-06,3
1597380904015418946,34,1596774723397744894,base_link,2,0,-6.87082430986,107.572877513,863.631,1.72876524522,-2.16909823436e-14,-7.17673139062e-15,-2.16771045558e-14,1.72876524522,-1.04676937981e-15,-7.17673139062e-15,-1.04676937981e-15,1.07429316576e-06,3
1597380904215998905,35,1596774723577625036,base_link,2,0,-6.87082407374,107.572875965,863.631,2.19244854162,-2.70311550921e-13,-9.01789485224e-15,-2.70297673133e-13,2.19244854161,-1.46032787551e-15,-9.01789485229e-15,-1.46032787551e-15,1.0747557604e-06,3
1597380904415601966,36,1596774723777138948,base_link,2,0,-6.87082387331,107.572873282,863.631,1.79457219243,-1.18627330181e-13,-7.38369992012e-15,-1.18627330181e-13,1.79457219243,-1.19131035268e-15,-7.38369992012e-15,-1.19131035268e-15,1.07411034449e-06,3
1597380904615329852,37,1596774723997169018,base_link,2,0,-6.87082356693,107.57287118,863.631,2.29560169022,-5.77732306439e-14,-9.50825170692e-15,-5.77593528561e-14,2.29560169022,-1.46070494733e-15,-9.5082517069e-15,-1.46070494732e-15,1.07434536643e-06,3
