%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1597380893472684728,0,1597380893470603942,map,map__identity,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1597380894471666667,0,1597380894470396041,map,map__identity,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1597380895471950206,0,1597380895471189975,map,map__identity,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1597380896476148043,0,1597380896472151041,map,map__identity,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1597380896825794542,0,1596774716244818926,map,odom,4.15021994455e-05,-3.95162339238e-07,-1.70707344514e-16,9.36075873609e-16,9.22090246975e-16,0.00171579872754,0.999998528016
1597380896832672209,0,1596774716244818926,odom,base_link,4.15021994253e-05,-3.95162359444e-07,-1.70707344514e-16,9.36075873609e-16,9.22090246975e-16,0.00171579872754,0.999998528016
1597380896857139430,0,1596774716264436007,map,odom,0.000265207159551,-3.8091706315e-05,1.66209157972e-16,-8.24519843012e-16,-2.24104480755e-15,0.00204549524903,0.999997907972
1597380896865902687,0,1596774716284349918,odom,base_link,0.000592403335,-0.000433946663725,1.01760265372e-16,-2.00899565585e-15,4.86153250922e-16,0.00538637933712,0.999985493354
1597380896891833895,0,1596774716304306030,map,odom,0.000567194307621,-0.000328655971327,-2.1479461701e-16,1.20599749314e-15,1.34058092225e-15,0.0013373536837,0.999999105742
1597380896899804002,0,1596774716304306030,odom,base_link,0.0007097095316,-0.000688396071244,1.14045121208e-16,-9.08432660992e-16,1.59812119054e-16,0.00658626342202,0.999978310332
1597380896925410089,0,1596774716344482899,map,odom,0.000216882587237,-0.00181361317314,-1.06244048628e-16,-5.45458930591e-16,1.31099705402e-15,0.0023703212007,0.999997190785
1597380896933343265,0,1596774716344482899,odom,base_link,-0.00034890129978,-0.00263945314509,-6.59132658933e-17,1.85840376821e-15,-4.09625474767e-16,0.00872404990245,0.999961944753
1597380896957986067,0,1596774716364351988,map,odom,0.000142930406137,-0.00269628924613,-2.12876175112e-16,1.16469950042e-17,1.84063364211e-15,0.000515475609196,0.999999867142
1597380896966196681,0,1596774716384358883,odom,base_link,-0.00217267194945,-0.0061157263522,-2.35455790691e-16,-1.77842131442e-15,-9.19985505741e-16,0.00746973191212,0.999972101163
1597380896992293347,0,1596774716404303074,map,odom,-0.00139300809095,-0.00397952679458,5.07232907988e-16,2.0288927258e-15,-1.13574112389e-15,-0.000728531341508,0.999999734621
1597380896999021962,0,1596774716404303074,odom,base_link,-0.00523142781219,-0.00793790557467,-5.15017757681e-17,-3.35179410413e-16,1.29463067994e-15,0.00553716558632,0.999984669781
1597380897024871489,0,1596774716444118977,map,odom,-0.00533501260524,-0.00735733744788,6.06924574721e-17,-3.08308274758e-16,-2.65672627116e-15,-0.00182248549815,0.999998339272
1597380897032324557,0,1596774716444118977,odom,base_link,-0.0115124071015,-0.0117413942134,1.83637384605e-16,-7.78262995017e-16,1.22564138638e-15,0.00239073544758,0.999997142188
1597380897058058194,0,1596774716464159966,map,odom,-0.00537234819198,-0.00815139257126,3.85263899931e-17,-1.08296505889e-15,-2.70330627512e-15,-2.4286526809e-05,0.999999999705
1597380897066381766,0,1596774716484208107,odom,base_link,-0.0158464416435,-0.0182324822644,1.89504019123e-16,5.53666778452e-17,1.26621054265e-15,-0.000656231862285,0.99999978468
1597380897090498384,0,1596774716504187107,map,odom,-0.00828935436606,-0.00939825988533,-2.1880102256e-16,-2.09694737858e-15,-5.23100147961e-17,-0.00134245817979,0.999999098903
1597380897098983016,0,1596774716504187107,odom,base_link,-0.0194997689111,-0.0198887826537,4.80589674193e-17,-3.93057216765e-16,1.17513261496e-15,-0.00368515758479,0.999993209784
1597380897133191300,0,1596774716544286013,map,odom,-0.013357272444,-0.0135570636003,5.28264597056e-17,-1.48602926983e-15,-9.62815984052e-16,-0.00259345883454,0.99999663698
1597380897134313830,0,1596774716544286013,odom,base_link,-0.0251752480765,-0.0235456872638,-1.15138889157e-16,2.89267766929e-17,-9.89388118609e-16,-0.00778609067742,0.999969687937
1597380897158082638,0,1596774716563962936,map,odom,-0.013762158263,-0.0151612142185,2.55876808262e-16,5.31862497169e-16,-1.35886206704e-15,-2.00064645205e-05,0.9999999998
1597380897165951934,0,1596774716584007025,odom,base_link,-0.0291726224771,-0.030655898506,-1.03270087847e-16,9.55118422285e-16,5.17780234773e-16,-0.0110082172404,0.999939407741
1597380897191006007,0,1596774716604029894,map,odom,-0.015885956205,-0.0172107168691,2.48945115133e-16,-3.63165876423e-16,-1.44907197882e-15,-0.000271549239671,0.999999963131
1597380897199715578,0,1596774716604029894,odom,base_link,-0.0305667918019,-0.0349390466101,-1.53080881961e-16,-4.41323654394e-16,1.66579126389e-15,-0.0125212526483,0.999921606043
1597380897224897828,0,1596774716643879890,map,odom,-0.0202510177919,-0.0160993833222,2.79579995122e-16,1.13097798512e-15,-7.48501236137e-16,-0.00293197491725,0.999995701752
1597380897232558173,0,1596774716643879890,odom,base_link,-0.0362719820931,-0.0389501795841,1.59633900124e-16,-1.48842594321e-15,-1.17249787321e-15,-0.0170062006104,0.999855384114
1597380897257969271,0,1596774716663851023,map,odom,-0.0204987591867,-0.0164172929635,-3.22567824358e-16,1.48272027123e-15,3.09830318413e-15,-0.000349850637736,0.999999938802
1597380897266092967,0,1596774716683847904,odom,base_link,-0.0411604542036,-0.0431587344347,-2.54152545396e-17,9.65913992786e-16,-1.51889799067e-15,-0.0207558391388,0.999784574367
1597380897291608018,0,1596774716703973055,map,odom,-0.0215940963193,-0.0185140325746,-4.96911314904e-17,-1.97942915776e-15,8.05516468899e-17,-0.000175051367905,0.999999984679
1597380897300022417,0,1596774716703973055,odom,base_link,-0.0426575826936,-0.0458791711805,1.85957178104e-16,8.14953120411e-16,-4.95409189237e-16,-0.0223825916013,0.999749478416
1597380897325234617,0,1596774716743916035,map,odom,-0.0252329421305,-0.0205376450551,-6.22039844673e-16,-1.57316771797e-16,2.61363421492e-15,-0.00117803053296,0.999999306122
1597380897332415274,0,1596774716743916035,odom,base_link,-0.0461765649071,-0.0477449720183,7.16737775864e-17,1.48375065468e-15,2.22025401704e-15,-0.0247250065701,0.999694290296
1597380897357957203,0,1596774716763937950,map,odom,-0.0251161161174,-0.0213546081754,-3.74074936679e-17,-1.26822607498e-15,-2.99650812475e-15,0.00110912072367,0.999999384925
1597380897367435628,0,1596774716783953905,odom,base_link,-0.0481366387603,-0.0519285431559,5.42861431124e-17,-1.05952725173e-15,2.01113960676e-15,-0.0231305505937,0.999732453024
1597380897391090292,0,1596774716803828955,map,odom,-0.0261403250924,-0.0240583931974,-2.78640148213e-16,-5.53137529214e-16,-6.15133196267e-16,0.00147854905899,0.999998906946
1597380897398852913,0,1596774716803828955,odom,base_link,-0.0487026581746,-0.0566379483333,1.59803088519e-16,-1.64662954592e-15,5.73176465505e-16,-0.0216089054446,0.999766500342
1597380897424554435,0,1596774716843806982,map,odom,-0.0316437804697,-0.0170520968992,6.71387014853e-17,2.4934816816e-15,-3.79829256999e-16,0.00116445962108,0.999999322017
1597380897433034249,0,1596774716843806982,odom,base_link,-0.0504766732299,-0.0646780216205,-2.19835396374e-16,1.10838200635e-15,1.70684627727e-15,-0.0205781126841,0.99978824822
1597380897458627282,0,1596774716863845110,map,odom,-0.0313858870231,-0.0150058370609,3.93918228475e-16,-5.53899870758e-16,-9.57787686245e-16,0.000249447527499,0.999999968888
1597380897466206015,0,1596774716883685112,odom,base_link,-0.0513138036407,-0.0716897693522,3.59793381709e-17,2.35272059528e-16,2.17833229356e-15,-0.0206021364304,0.999787753463
1597380897473459836,0,1597380897471338033,map,map__identity,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1597380897490759316,0,1596774716903964043,map,odom,-0.0318581621565,-0.0158869000314,5.23549675086e-16,-1.71425380686e-16,-4.15016126857e-15,-2.59057589647e-05,0.999999999664
1597380897500473990,0,1596774716903964043,odom,base_link,-0.0513510849958,-0.0742150163363,-8.67475570812e-17,-1.06874508852e-15,-4.45209283521e-17,-0.0210898885323,0.999777583566
1597380897523850796,0,1596774716943795919,map,odom,-0.0332271066817,-0.0196060595736,4.95801491016e-16,1.96924190673e-15,1.61567390968e-16,-0.00101032205441,0.999999489625
1597380897533516251,0,1596774716943795919,odom,base_link,-0.0523819232061,-0.0784625476103,-1.19573125614e-16,-8.10577987853e-16,-8.45202608964e-16,-0.0228936377991,0.999737906328
1597380897558759728,0,1596774716963613033,map,odom,-0.0336886842971,-0.0194058999313,3.87098151208e-16,2.54992880919e-15,1.85206681987e-15,0.000445572458295,0.999999900733
1597380897566106680,0,1596774716983580112,odom,base_link,-0.05396792833,-0.0828211816875,1.95073366402e-16,1.15095719627e-15,1.23454708165e-16,-0.0230321627645,0.999734724554
1597380897591892816,0,1596774717004638910,map,odom,-0.0346615535366,-0.0200922852196,-9.09705764694e-17,4.09594806487e-16,1.27982785645e-15,0.000878980277558,0.999999613697
1597380897599000727,0,1596774717004638910,odom,base_link,-0.0552105650431,-0.0840516670528,1.26470354636e-16,1.15765501399e-15,2.17390454445e-15,-0.0225215855734,0.999746356924
