%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1597380901807521301,3096,1596774721230290889,/gps,-1.31923730248,-0.674352652349,0.0,0.0,0.0,0.0
1597380902009560640,3097,1596774721431447029,/gps,-1.06945615107,0.0354775144392,0.0,0.0,0.0,0.0
1597380902014107237,3098,1596774721436737060,/gps,1.05766889249,-0.162270228172,0.0,0.0,0.0,0.0
1597380902209140522,3099,1596774721630371093,/gps,-1.21705150574,0.207815808243,0.0,0.0,0.0,0.0
1597380902222627144,3100,1596774721644984006,/gps,-0.108822669043,-1.22986153874,0.0,0.0,0.0,0.0
1597380902406928644,3101,1596774721827783107,/gps,-1.2246355295,0.109511254314,0.0,0.0,0.0,0.0
1597380902414139879,3102,1596774721836452007,/gps,-1.19971487483,0.269089416457,0.0,0.0,0.0,0.0
1597380902610003175,3103,1596774722030946016,/gps,-1.09019700502,0.0304519596728,0.0,0.0,0.0,0.0
1597380902625731366,3104,1596774722047348976,/gps,1.07873735273,0.1605694723,0.0,0.0,0.0,0.0
1597380902808041857,3105,1596774722229176998,/gps,-1.21922590535,0.00425591856048,0.0,0.0,0.0,0.0
1597380902812424323,3106,1596774722234811067,/gps,0.0280786450496,1.21890996829,0.0,0.0,0.0,0.0
1597380903011847684,3107,1596774722433280944,/gps,-1.21178539398,0.0747528530986,0.0,0.0,0.0,0.0
1597380903021606131,3108,1596774722443991899,/gps,-0.254797441292,-1.18705100734,0.0,0.0,0.0,0.0
1597380903211606708,3109,1596774722632213115,/gps,-1.05972140138,0.00850817150431,0.0,0.0,0.0,0.0
1597380903225430528,3110,1596774722647916078,/gps,0.295955913575,1.01759124149,0.0,0.0,0.0,0.0
1597380903412098702,3111,1596774722833260059,/gps,-1.19912716264,0.105964559192,0.0,0.0,0.0,0.0
1597380903418454165,3112,1596774722840962886,/gps,-1.18830067527,0.192551149469,0.0,0.0,0.0,0.0
1597380903606597007,3113,1596774723027627944,/gps,-1.45615868842,0.210614006669,0.0,0.0,0.0,0.0
1597380903618656015,3114,1596774723040946960,/gps,1.44225983828,-0.290934605308,0.0,0.0,0.0,0.0
1597380903812584014,3115,1596774723233717918,/gps,-0.952366385592,0.135880997547,0.0,0.0,0.0,0.0
1597380903818261309,3116,1596774723240959882,/gps,0.958199290432,-0.0855540631113,0.0,0.0,0.0,0.0
1597380904014061075,3117,1596774723435251951,/gps,-1.17123149928,0.126822811787,0.0,0.0,0.0,0.0
1597380904020959756,3118,1596774723443236112,/gps,-0.325742254905,1.13214806181,0.0,0.0,0.0,0.0
1597380904211824413,3119,1596774723632652997,/gps,-1.435641899,0.117526743152,0.0,0.0,0.0,0.0
1597380904218691329,3120,1596774723641277074,/gps,-1.40899192651,-0.299369251177,0.0,0.0,0.0,0.0
1597380904411341045,3121,1596774723832103967,/gps,-0.908288762128,0.116354473925,0.0,0.0,0.0,0.0
1597380904420469076,3122,1596774723842962980,/gps,0.681784141336,0.611307797786,0.0,0.0,0.0,0.0
1597380904606861139,3123,1596774724027669906,/gps,-1.23422766903,0.198575101658,0.0,0.0,0.0,0.0
1597380904609872539,3124,1596774724032289028,/gps,0.556934662311,-1.11918443159,0.0,0.0,0.0,0.0
1597380904812659300,3125,1596774724233361005,/gps,-1.22418777948,0.226447821537,0.0,0.0,0.0,0.0
1597380904822524073,3126,1596774724245018959,/gps,-0.958149081963,-0.794899158409,0.0,0.0,0.0,0.0
1597380905005476498,3127,1596774724426721096,/gps,-1.06411596462,0.153910235642,0.0,0.0,0.0,0.0
1597380905015148097,3128,1596774724437139034,/gps,1.05395911259,-0.212606057725,0.0,0.0,0.0,0.0
1597380905223257920,3129,1596774724644486904,/gps,-1.2600945089,0.163657702447,0.0,0.0,0.0,0.0
1597380905228761310,3130,1596774724651318073,/gps,1.02603107085,0.749588057923,0.0,0.0,0.0,0.0
1597380905415447636,3131,1596774724836184024,/gps,-1.27517152319,0.0407422282513,0.0,0.0,0.0,0.0
1597380905423275742,3132,1596774724845709085,/gps,1.27151066948,-0.104799618879,0.0,0.0,0.0,0.0
1597380905605990383,3133,1596774725027276039,/gps,-1.00148646025,0.117116039552,0.0,0.0,0.0,0.0
1597380905615982495,3134,1596774725038561105,/gps,0.210041039604,0.986191694586,0.0,0.0,0.0,0.0
1597380905810244133,3135,1596774725232172966,/gps,-1.09882182699,0.165396591652,0.0,0.0,0.0,0.0
1597380905816181483,3136,1596774725237435102,/gps,0.959284357033,-0.560837732637,0.0,0.0,0.0,0.0
1597380906013043670,3137,1596774725432189941,/gps,-1.37409881305,0.290319547663,0.0,0.0,0.0,0.0
1597380906025448393,3138,1596774725447962999,/gps,-1.02044053941,0.964952896939,0.0,0.0,0.0,0.0
1597380906215573517,3139,1596774725636629104,/gps,-1.09822717805,0.22723202521,0.0,0.0,0.0,0.0
1597380906229289196,3140,1596774725651124954,/gps,-0.974663215116,0.554769271859,0.0,0.0,0.0,0.0
1597380906412737158,3141,1596774725834238052,/gps,-1.18707005461,0.320296082365,0.0,0.0,0.0,0.0
1597380906416671561,3142,1596774725838819980,/gps,0.868997667217,-0.869809145335,0.0,0.0,0.0,0.0
1597380906606759266,3143,1596774726027575016,/gps,-1.46810176204,0.199538909239,0.0,0.0,0.0,0.0
1597380906623809302,3144,1596774726045591115,/gps,1.41933106874,0.425015149487,0.0,0.0,0.0,0.0
1597380906816398281,3145,1596774726234657049,/gps,-1.09654263578,0.144751994449,0.0,0.0,0.0,0.0
1597380906822024054,3146,1596774726241198062,/gps,0.964790607227,0.54086779917,0.0,0.0,0.0,0.0
1597380907011042286,3147,1596774726432754993,/gps,-1.04868948594,0.185100978059,0.0,0.0,0.0,0.0
1597380907016613884,3148,1596774726438241004,/gps,-0.422773044694,-0.977381687305,0.0,0.0,0.0,0.0
1597380907220208386,3149,1596774726633871078,/gps,-1.37498441101,0.230340186338,0.0,0.0,0.0,0.0
1597380907220217811,3150,1596774726640656948,/gps,0.127728047553,-1.38828105146,0.0,0.0,0.0,0.0
1597380907418514313,3151,1596774726837436914,/gps,-0.921694050494,0.132325559521,0.0,0.0,0.0,0.0
1597380907425285026,3152,1596774726847103118,/gps,0.922157125341,-0.129058950101,0.0,0.0,0.0,0.0
1597380907607588257,3153,1596774727028762102,/gps,-1.2206359101,0.217208577681,0.0,0.0,0.0,0.0
1597380907614901769,3154,1596774727037389993,/gps,-0.581576136394,-1.09494328109,0.0,0.0,0.0,0.0
1597380907805693681,3155,1596774727226947069,/gps,-1.23182216079,0.0837612199598,0.0,0.0,0.0,0.0
1597380907809937707,3156,1596774727232330083,/gps,-0.6677609486,-1.03850714649,0.0,0.0,0.0,0.0
1597380908013504632,3157,1596774727434082031,/gps,-1.09681851863,0.142646518242,0.0,0.0,0.0,0.0
1597380908025150693,3158,1596774727446381092,/gps,0.899583959334,0.643511920699,0.0,0.0,0.0,0.0
1597380908210195566,3159,1596774727631450891,/gps,-0.883990221012,0.14080118465,0.0,0.0,0.0,0.0
1597380908214832432,3160,1596774727637315034,/gps,0.469206589851,-0.762304965538,0.0,0.0,0.0,0.0
1597380908406531290,3161,1596774727828090906,/gps,-1.45762851578,0.200188650197,0.0,0.0,0.0,0.0
1597380908412929339,3162,1596774727835130929,/gps,1.43869577711,0.308076040309,0.0,0.0,0.0,0.0
